X,Y,Fuel_Type_Code,Station_Name,Street_Address,Station_Phone,Groups_With_Access_Code,Access_Days_Time,Cards_Accepted,EV_Level2_EVSE_Num,EV_Network,EV_Network_Web,Date_Last_Confirmed,Updated_At,Open_Date,Facility_Type,EV_Pricing,OBJECTID,Latitude,Longitude,ID
1473440.0000603,583625.999935314,ELEC,Cochran Commons - Tesla Supercharger,2720 W Mallard Creek Church Rd,877-798-3752,Public,"24 hours daily; for Tesla use only",,,Tesla,http://www.teslamotors.com/supercharger,2021/10/11 00:00:00+00,2021/11/04 18:37:47+00,2015/03/01 00:00:00+00,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",1,35.34075,-80.76579,102270
1449280.00015205,543860.000071138,ELEC,CLT AIRPORT BUS. VALET 05,325 W 6th St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2018/09/15 00:00:00+00,,,2,35.2303,-80.8443,102938
1450320.00004056,542514.000138476,ELEC,Secure Parking - BAC Parking Deck,150 N College St,704-331-0055,Private,Employee use only,,2,Non-Networked,,2020/12/03 00:00:00+00,2021/11/12 18:47:04+00,2011/12/31 00:00:00+00,PAY_GARAGE,,3,35.226655,-80.840749,104202
1448840.0000478,485934.000109732,ELEC,SpringHill Suites Charlotte Ballantyne Area - Tesla Destination,12325 Johnston Rd,704-817-1500  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,4,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2016/05/01 00:00:00+00,HOTEL,Free,4,35.071141,-80.842189,114667
1448010.00006738,481275.999911308,ELEC,Aloft Charlotte Ballantyne - Tesla Destination,13139 Ballantyne Corporate Pl,704-247-2222  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,3,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2018/11/01 00:00:00+00,HOTEL,Free,5,35.058303,-80.844678,114668
1422839.99988255,510543.000104234,ELEC,Embassy Suites Charlotte Ayrsley - Tesla Destination,1917 Ayrsley Town Blvd,704-970-5400  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,3,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2017/09/01 00:00:00+00,HOTEL,Free,6,35.13739,-80.930682,114669
1422689.99985448,510468.999924138,ELEC,Homewood Suites Charlotte Ayresly - Tesla Destination,1921 Ayrsley Town Blvd,704-970-5500  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,3,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2017/09/01 00:00:00+00,HOTEL,Free,7,35.137179,-80.931169,114670
1450239.99987248,541108.999995723,ELEC,Hyatt Place Charlotte Downtown - Tesla Destination,222 S Caldwell St,704-227-0500  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,2,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2017/09/01 00:00:00+00,HOTEL,Free,8,35.222792,-80.840924,114671
1427879.99997313,528921.000093564,ELEC,Renaissance Charlotte Suites Hotel - Tesla Destination,2800 Coliseum Centre Dr,704-357-1414  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,2,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2017/09/01 00:00:00+00,HOTEL,Free,9,35.188146,-80.914997,114672
1420889.99984555,549005.999949723,ELEC,Wingate By Wyndham Charlotte Airport I-85/I-485 - Tesla Destination,4238 Business Center Dr,704-395-3600  877-798-3752,Public - Call ahead,"24 hours daily; for customer use only",,3,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2017/09/01 00:00:00+00,HOTEL,Free,10,35.24295,-80.939688,114673
